출원번호,출원일,사무소,대리인,MainCPC,클러스터_v1,클러스터_v2,발명명칭
1020250192250,20251208,김앤장,이재훈,G06Q 50/10,C2,C 간접·표준형,철도 수소 인프라 안전 모니터링을 위한 안전 전송 장치 및 방법¶철도 수소 인프라 안전 모니터링을 위한 안전 전송 장치 및 방법{Safe Transmission Device and Method for Safety Monitoring of Hydrogen Infrastructure in Railway}
1020250181865,20251126,김앤장,이재훈,G08G 1/0137,C4,B 직접과제형,영상 센서와 광섬유 센서를 활용한 RSU 시스템 및 이를 이용한 방법¶영상 센서와 광섬유 센서를 활용한 RSU 시스템 및 이를 이용한 방법{RSU system using image sensors and optical fiber sensors and methods using them}
1020250174974,20251118,김앤장,이승현,E01F 9/70,C4,A 선행인용형,도로 2차사고 방지용 진동판¶도로 2차사고 방지용 진동판{vibration plate for preventing secondary accidents on the road}
1020250157277,20251027,김앤장,김지우,G06F 30/27,C2,C 간접·표준형,인공지능 모델 학습을 위한 건축 도면 분석 방법 및 장치¶인공지능 모델 학습을 위한 건축 도면 분석 방법 및 장치{ARCHITECTURAL DRAWING ANALYSIS METHOD AND APPARATUS FOR TRAINING ARTIFICIAL INTELLIGENCE MODEL}
1020250128348,20250909,김앤장,김성남,H01L 21/02	(2006.01),C2,C 간접·표준형,박막 증착 방법 및 이를 이용한 반도체 소자의 제조방법
1020250123449,20250901,김앤장,이호준,G06F 16/5846,C0,A 선행인용형,제품 상세 페이지 이미지에 대한 검색 엔진 최적화 방법{METHOD FOR SEARCH ENGINE OPTIMIZATION USING PRODUCT DETAIL PAGE IMAGES}
1020250119917,20250827,김앤장,김성환,B65H 35/0033,C4,B 직접과제형,스폰지테이프 부착작업의 자동화를 위한 테이핑헤드¶스폰지테이프 부착작업의 자동화를 위한 테이핑헤드{Taping head for automatic attachment work of sponge tape}
1020250120643,20250827,김앤장,이승희,G01B 5/0002,C4,A 선행인용형,교량의 연단거리 측정장치¶교량의 연단거리 측정장치{An edge distance measuring device for bridge}
1020250110376,20250811,김앤장,김기호,E01F 9/582,C4,B 직접과제형,발광 효율이 개선된 이탈 방지형 도로 표지병 및 그 시공방법¶발광 효율이 개선된 이탈 방지형 도로 표지병 및 그 시공방법{Anti-deviation road sign with improved luminous efficiency and its construction method}
1020250101904,20250727,김앤장,김성환,A01K 61/85,C4,B 직접과제형,로터리 분배형 송풍식 사료공급장치¶로터리 분배형 송풍식 사료공급장치{Feeding device by air blast with rotary dispenser}
1020250096469,20250717,김앤장,김정민,H01L 21/67	(2006.01),C2,C 간접·표준형,부산물 포집 장치
1020250084157,20250625,김앤장,이재훈,B61L 5/1881,C4,B 직접과제형,다기능 진로 표시기 및 이를 이용한 방법¶다기능 진로 표시기 및 이를 이용한 방법{Multifunctional Route indicator using AI and how to use it}
1020250081513,20250620,김앤장,이석재,F41A 21/44,C1,JP 번역체(v2제외),총기류 소음기용 내열 커버¶총기류 소음기용 내열 커버{HEAT RESISTANT COVER FOR SUPRESSOR OF GUN}
1020250078612,20250616,김앤장,김현진,H02J 3/32,C4,A 선행인용형,ESS 관리 시스템¶ESS 관리 시스템{An ESS Management System}
1020250078613,20250616,김앤장,김현진,H01M 10/627,C4,A 선행인용형,실내 공조 ESS시스템¶실내 공조 ESS시스템{A ESS System Having Indoor Air Circulating Device}
