출원번호,사무소,대리인,MainCPC,CPC섹션,도입_도면목록선행,도입_용어정의선행,JP_실시형태,실시형태_횟수,실시예_횟수,실시용어_주,실시예구조,복수실시예_마커수,변형예_유무,수치한정_빈도,용어_실질정의,용어_보일러플레이트,용어_서수사,용어_인라인약칭,도면참조_방식,도면수,도면참조_per1000자,도면당_분량,전개앵커,전개앵커_v2.1,EMB_분량,BG_분량,효과_채움,효과_정성,면책_도입,면책_말미,면책_전체,JP변형예
1020250072981,kimandjang,김성남,H03K 5/15	(2006.01),H,0,0,0,0,14,실시예,단일,0,1,0.8,0,0,0,0,혼용,11,11.3,1628,동작-시간,,17903,505,1,0,1,0,1,0
1020240144334,kimandjang,김성남,G11C 7/222,G,1,0,0,0,19,실시예,단일,0,0,0.1,0,0,0,0,혼용,10,13.1,1728,동작-시간,,17279,318,1,1,0,0,0,0
1020250096469,kimandjang,김정민,H01L 21/67	(2006.01),H,0,1,0,0,8,실시예,단일,0,0,4.0,0,1,0,0,혼용,6,24.6,2435,도면-공간,,14611,1182,1,0,1,0,1,0
1020250029232,kimandjang,이승희,B63B 79/30	(2020.01),B,0,0,0,0,7,실시예,단일,0,0,0.0,0,0,0,1,혼용,6,6.0,3453,동작-시간,,20718,3814,1,0,1,1,1,0
1020250029237,kimandjang,이승희,B63B 79/30	(2020.01),B,0,0,0,0,7,실시예,단일,0,0,0.0,0,0,0,1,혼용,6,6.0,3453,동작-시간,,20718,3814,1,0,1,1,1,0
1020250000286,kimandjang,김기호,E04H 17/00	(2006.01),E,0,0,0,0,11,실시예,단일,0,1,0.3,0,0,0,0,혼용,8,15.5,427,실험-수치,,3416,790,1,1,0,0,0,0
1020250000281,kimandjang,김기호,E04F 15/02	(2006.01),E,0,0,0,0,10,실시예,단일,0,1,0.6,0,0,0,0,혼용,10,20.9,335,실험-수치,,3349,664,1,1,0,0,0,0
1020240182983,kimandjang,김성남,H10B 41/20	(2023.01),H,0,0,0,0,36,실시예,단일,0,1,7.0,0,0,0,0,혼용,27,24.4,420,실험-수치,,11331,358,1,1,0,1,1,0
1020250039521,kimandjang,김기호,G08G 1/097	(2006.01),G,0,1,0,0,6,실시예,단일,0,0,0.0,0,1,0,0,괄호주도,7,6.2,1199,도면-공간,,8393,3542,1,0,1,0,1,0
1020250013665,kimandjang,김기호,F21S 4/22	(2016.01),F,0,0,0,0,10,실시예,단일,0,1,0.2,0,0,0,0,혼용,16,21.5,270,도면-공간,,4324,335,1,1,0,0,0,0
1020250045329,kimandjang,김현진,E02B 3/12	(2006.01),E,0,1,0,0,41,실시예,단일,0,1,4.8,0,1,0,0,혼용,11,9.0,2142,실험-수치,,23561,1281,1,1,0,0,0,0
1020250045328,kimandjang,김현진,C04B 26/16	(2006.01),C,0,1,0,0,42,실시예,단일,0,1,4.8,0,1,0,0,혼용,10,8.9,2391,실험-수치,,23910,1166,1,1,0,0,0,0
1020240143906,kimandjang,김기호,G08G 1/095	(2006.01)¶G08G 1/095	(2013.01),G,0,0,0,0,11,실시예,단일,0,0,0.3,0,0,0,0,혼용,10,18.8,319,도면-공간,,3193,773,1,1,0,0,0,0
1020250027306,kimandjang,김기호,E01D 19/06	(2006.01),E,0,0,0,0,12,실시예,단일,0,1,0.3,0,0,0,0,혼용,9,14.0,404,도면-공간,,3632,832,1,0,0,0,0,0
1020250192250,kimandjang,이재훈,G06Q 50/10,G,0,0,0,0,23,실시예,단일,0,1,0.0,0,0,0,0,소수,3,3.8,9716,동작-시간,,29149,2733,1,1,0,0,0,0
1020250015013,kimandjang,이재훈,G01R 31/36,G,0,0,0,0,3,실시예,단일,0,0,2.5,0,0,0,0,혼용,7,5.6,1942,도면-공간,,13593,1892,1,1,0,0,0,0
1020240168043,kimandjang,이승현,A47B 47/04	(2006.01),A,1,0,0,0,6,실시예,단일,0,1,0.4,0,0,0,1,혼용,27,33.6,613,도면-공간,,16562,467,1,1,0,0,0,0
1020250045866,kimandjang,김현진,H04W 12/06	(2021.01),H,0,1,0,0,8,실시예,단일,0,1,0.2,0,1,0,0,괄호주도,16,30.5,1214,도면-공간,,19426,771,1,1,0,0,0,0
1020240194054,kimandjang,이재훈,B61L 27/20	(2024.01),B,0,0,0,0,7,실시예,단일,0,0,0.0,0,0,0,0,괄호주도,3,7.7,5240,동작-시간,,15720,2897,1,1,0,0,0,0
1020240194093,kimandjang,이재훈,B61L 27/20	(2024.01),B,0,0,0,0,6,실시예,단일,0,0,0.0,0,0,0,0,소수,3,5.2,3683,동작-시간,,11048,2197,1,1,0,0,0,0
1020240150653,kimandjang,이승현,B21D 3/16	(2006.01),B,1,0,0,0,4,실시예,단일,0,1,0.1,0,0,0,0,혼용,13,30.1,1483,도면-공간,,19273,682,1,1,0,0,0,0
1020240141026,kimandjang,김현진,G01R 27/02	(2006.01),G,0,1,0,0,5,실시예,단일,0,0,0.1,0,1,0,0,혼용,10,12.2,1136,도면-공간,,11359,687,1,0,0,0,0,0
