출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020230108030,회전체의 최대 압박 하중 결정 방법 및 회전체의 최대압박 하중 결정 프로그램을 기록한 컴퓨터로 판독 가능한 기록 매체,20230818,B24B 37/005,2,0
1020230082348,산화물 반도체막 및 반도체 장치,20230627,H01L 29/786,2,3
1020230069881,SiC 단결정 기판,20230531,C30B 29/36,3,6
1020230069704,SiC 단결정 기판,20230531,C30B 29/36,2,4
1020230069221,SiC 기판 및 SiC 잉곳,20230530,C30B 29/36,2,11
1020230069222,SiC 기판 및 SiC 잉곳,20230530,C30B 29/36,2,10
1020230068081,SiC 기판 및 SiC 에피택셜 웨이퍼,20230526,C30B 29/36,2,7
1020230068125,SiC 기판 및 SiC 에피택셜 웨이퍼,20230526,C30B 29/36,5,13
1020230068128,SiC 기판 및 SiC 에피택셜 웨이퍼,20230526,C30B 29/36,2,9
1020230067410,SiC 기판 및 SiC 잉곳,20230525,C30B 29/36,3,10
1020230062850,"반사 방지 필름, 표시 장치 및 표시 장치의 반사 방지 필름의 선택 방법",20230516,G02B 1/11,3,8
1020230058327,"기판 홀더, 도금 장치 및 도금 방법",20230504,C25D 17/06,9,9
1020230048090,도금 장치,20230412,C25D 17/00,7,7
1020230028229,"경화성 조성물, 드라이 필름, 경화물 및 프린트 배선판",20230303,C08K 3/013,3,5
1020230020465,산화물 반도체막 및 반도체 장치,20230216,H01L 29/786,6,1
1020230016072,도금 장치,20230207,C25D 21/12,1,6
1020230012647,반도체 제조 장치 및 반도체 장치의 제조 방법,20230131,H01L 21/67,2,11
1020230009516,기록 장치,20230125,B41J 2/175,4,17
1020230002274,이트륨계 용사 피막 및 그의 제조 방법,20230106,C23C 4/06,1,2
1020220179999,"반도체 제조 장치, 반도체 제조 장치의 고장 예지 방법 및 기억 매체",20221221,H01L 21/67,3,4
1020220149191,"열처리 장치의 상태 감시 장치, 열처리 장치의 관리 방법 및 기억 매체",20221110,H01L 21/67,15,4
1020220144231,도금 장치,20221102,C25D 21/12,1,11
1020220141280,"카메라 모듈, 포터블 전자 기기, 및 위치 제어 시스템",20221028,H04N 23/60,10,3
1020220134835,"땜납 합금, 땜납 페이스트, 땜납 볼, 땜납 프리폼 및 납땜 이음",20221019,B23K 35/26,5,1
1020220130412,도금 장치 및 시스템,20221012,C25D 21/12,2,5
1020220126800,기록 장치,20221005,B41J 2/175,2,22
1020220123928,세정 장치 및 기판 세정 방법,20220929,H01L 21/67,3,6
1020220121309,압축기 유닛,20220926,B63H 21/38,2,5
1020220118421,연결 기구의 회전 중심 위치 결정 방법 및 연결 기구의 회전 중심 위치 결정 프로그램을 기록한 컴퓨터로 판독 가능한 기록 매체,20220920,B24B 37/005,4,2
1020220117596,적층체 및 적층체의 제조 방법,20220919,B32B 17/10,6,7
1020220110026,발광 소자,20220831,H01L 51/50,4,8
1020220105421,땜납 합금 및 땜납 이음,20220823,B23K 35/26,3,1
1020227045597,"형광체, 발광 장치, 조명 장치, 화상 표시 장치 및 차량용 표시등",20220819,C09K 11/77,11,17
1020227045598,"형광체, 발광 장치, 조명 장치, 화상 표시 장치 및 차량용 표시등",20220819,C09K 11/77,11,17
1020220098971,기판 처리 장치,20220809,H01L 21/67,1,4
1020237007131,안테나 부재,20220802,H01Q 1/38,1,13
1020237018960,도금 방법 및 도금 장치,20220802,C25D 17/06,7,4
1020220094715,카메라 모듈,20220729,H04N 23/00,7,15
1020220094080,EL 표시 장치,20220728,H10K 59/00,2,5
1020220090126,"기판 처리 장치, 기판 처리 장치의 운전 방법 및 기억 매체",20220721,H01L 21/67,3,8
1020220086689,압축기 유닛 및 그 제어 방법,20220714,F04B 39/06,2,3
1020220084298,회전 전기 기기,20220708,H02K 9/08,1,6
1020220081056,화상 형성 장치,20220701,G03G 15/00,1,10
1020220076561,로드 포트 및 로드 포트를 구비하는 기판 반송 시스템,20220623,H01L 21/677,2,4
1020220076877,"패턴 형성 방법, 리소그래피 장치, 및 물품 제조 방법",20220623,G03F 9/00,9,4
1020220076364,수전 작업기의 전동 장치,20220622,A01C 11/02,1,6
1020237003875,도금 장치,20220617,C25D 21/08,2,5
1020237003918,누설 판정 방법 및 도금 장치,20220617,C25D 21/00,6,4
1020220073428,반도체 제조 장치 및 반도체 장치의 제조 방법,20220616,H01L 21/67,2,5
1020237009335,도금 장치,20220601,C25D 17/00,2,4
1020220065523,광학 필름 및 터치 패널이 부착된 표시 장치,20220527,G02B 5/02,4,3
1020220063422,기판 처리 장치 및 기판 처리 방법,20220524,H01L 21/67,4,8
1020220062640,산화물 반도체막 및 반도체 장치,20220523,H01L 29/04,8,0
1020220062672,반도체 장치,20220523,H01L 27/144,3,2
1020220061350,에칭 방법 및 에칭 장치,20220519,H01L 21/3213,7,1
1020220057632,연마 장치 및 연마 방법,20220511,B24B 37/013,4,10
1020220057637,"대형 합성 석영 유리 기판, 그리고 그의 평가 방법 및 제조 방법",20220511,C03C 3/06,2,2
1020220055302,"프리웨트 모듈, 탈기액 순환 시스템, 및 프리웨트 방법",20220504,C25D 21/08,5,14
1020220053218,압축기 유닛 및 압축기 유닛의 제어 방법,20220429,F04B 49/06,3,3
1020220052654,"게임 시스템, 게임 제어 장치, 프로그램 및 게임 제어 방법",20220428,A63F 13/55,4,6
1020220052655,"게임 시스템, 게임 제어 장치, 프로그램 및 게임 제어 방법",20220428,A63F 13/55,5,7
1020220052657,"게임 시스템, 게임 제어 장치, 프로그램 및 게임 제어 방법",20220428,A63F 13/55,4,8
1020220052660,"게임 시스템, 게임 제어 장치, 프로그램 및 게임 제어 방법",20220428,A63F 13/55,4,8
1020220050626,"발광 소자, 발광 장치, 표시 장치, 전자 기기 및 조명 장치",20220425,H10K 50/00,12,1
1020220048881,반도체 장치 및 그 제작 방법,20220420,H01L 29/786,1,5
1020220048053,반도체 장치 및 그의 제작 방법,20220419,H01L 29/786,2,0
1020220047444,기판 처리 장치,20220418,H01L 21/67,1,2
1020220047031,다이 본딩 장치 및 반도체 장치의 제조 방법,20220415,H01L 23/00,2,2
1020220046485,발광 장치,20220414,H01L 33/62,13,4
1020220044785,벌크 밀도가 높은 분말상 수용성 비이온성 셀룰로오스에테르의 제조 방법,20220411,C08B 11/20,1,4
1020220043723,다이싱·다이본드 필름 및 반도체 장치의 제조 방법,20220408,H01L 21/683,2,6
