appno,title,applicant,date,cpc,cpc_sec,total_c,ind_n,dep_n,strategy,ind_cats,emb_len,bg_len,tf_len,conn_포함하는,conn_구비하는,conn_이루어지는,structural,functional,bracket_ref,inline_ref,sil_hyeon,sil_ye,yeo_jeong,do_myeon,techproblem,techsolution
1020250072981,클럭 생성 회로 및 이를 포함하는 전압 생성 회로,에스케이하이닉스 주식회사,20250604,H03K 5/15	(2006.01),H,8,1,7,⑨ 장치단독,장치,17903,505,117,3,0,0,3,8,138,0,False,True,False,False,False,False
1020240144334,"반도체 장치, 반도체 시스템, 및 반도체 시스템의 동작 방법{SEMICONDUCTOR DEVICE, SEMI",에스케이하이닉스 주식회사,20241021,G11C 7/222,G,20,3,17,② 순수형,장치|시스템|방법,17279,318,44,8,0,0,8,7,205,9,False,True,False,True,False,False
1020250096469,부산물 포집 장치,한소 주식회사,20250717,H01L 21/67	(2006.01),H,4,1,3,⑨ 장치단독,장치,14611,1182,34,1,0,0,1,0,325,8,False,True,False,False,False,False
1020250029232,선박 엔진의 탑 브레이싱 장치의 오류 검출 시스템,주식회사 진원하이드로릭,20250306,B63B 79/30	(2020.01),B,2,1,1,⑨ 장치단독,시스템,20718,3814,147,2,0,0,4,4,106,3,False,True,True,False,False,False
1020250029237,선박 엔진의 탑 브레이싱 장치의 오류 검출 시스템,주식회사 진원하이드로릭,20250306,B63B 79/30	(2020.01),B,2,1,1,⑨ 장치단독,시스템,20718,3814,147,2,0,0,4,4,106,3,False,True,True,False,False,False
1020250000286,울타리 지주용 태양광 상부캡,주식회사 달란트리¶주식회사 누리텍,20250102,E04H 17/00	(2006.01),E,3,1,2,⑨ 장치단독,장치,3416,790,116,1,0,4,6,0,48,1,False,True,False,False,False,False
1020250000281,판재 고정용 클립부재,주식회사 누리텍,20250102,E04F 15/02	(2006.01),E,3,1,2,⑨ 장치단독,장치,3380,664,109,1,0,2,6,0,62,2,False,True,False,False,False,False
1020240182983,"3차원 필라 타입 축전기 방식 인-메모리 컴퓨팅 소자 및 그 제조 방법과, 이를 이용한 인-메모리 컴퓨팅 장",에스케이하이닉스 주식회사,20241210,H10B 41/20	(2023.01),H,31,4,27,② 순수형,장치|장치|방법|장치,11331,358,102,9,0,0,9,0,224,17,False,True,False,False,False,False
1020250039521,통신기능을 갖춘 바닥형 보행신호등의 표출부에 대한 고유번호 및 종단저항 설정 시스템,(주)에이원트래픽알앤디,20250327,G08G 1/097	(2006.01),G,6,1,5,⑨ 장치단독,시스템,8393,3542,559,0,0,6,7,2,49,2,False,True,True,False,False,False
1020250013665,플랙시블 LED를 이용한 태양광 울타리 경관조명 시스템,주식회사 달란트리¶주식회사 누리텍,20250204,F21S 4/22	(2016.01),F,5,1,4,⑨ 장치단독,시스템,4324,335,151,1,0,6,9,0,83,1,False,True,False,False,False,False
1020250045329,"다공성 기초블록, 이를 이용하는 제방 보호 구조물 및 그 시공방법¶다공성 기초블록, 이를 이용하는 제방 보호",에스비비 주식회사,20250408,E02B 3/12	(2006.01),E,20,4,16,② 순수형,물건|방법|장치|방법,23561,1281,260,15,0,0,17,0,178,10,False,True,True,False,False,False
1020250045328,"투수성 구조체 조성물, 이를 이용하는 사면 보호 구조물 및 그 시공방법¶투수성 구조체 조성물, 이를 이용하는",에스비비 주식회사,20250408,C04B 26/16	(2006.01),C,20,4,16,② 순수형,장치|물건|방법|물건,23910,1166,408,13,0,0,13,1,178,10,False,True,True,False,False,False
1020240143906,바닥형 보행신호등 표출부에 LED광원을 이용한 광섬유 바닥형 신호등 시스템,(주)에이원트래픽알앤디,20241021,G08G 1/095	(2006.01)¶G08G 1/095	(2013.01),G,4,1,3,⑨ 장치단독,시스템,3193,773,190,1,0,6,8,0,56,0,False,True,False,False,False,False
1020250027306,교량 신축이음부 연동형 배수설비,주식회사 인¶권해국,20250304,E01D 19/06	(2006.01),E,3,1,2,⑨ 장치단독,장치,3632,832,137,2,0,1,4,0,43,2,False,True,False,False,False,False
1020250192250,철도 수소 인프라 안전 모니터링을 위한 안전 전송 장치 및 방법¶철도 수소 인프라 안전 모니터링을 위한 안전,대아티아이 (주),20251208,G06Q 50/10,G,8,2,6,⑥ 장치+장치,장치|장치,29149,2733,261,6,0,0,10,4,109,0,False,True,False,False,False,False
1020250015013,에너지 저장소자의 성능평가 장치¶에너지 저장소자의 성능평가 장치{Performance Evaluation D,주식회사 온누리이엔지,20250206,G01R 31/36,G,6,2,4,⑧ 물건+물건,물건|물건,13593,1892,305,0,0,0,0,0,62,7,False,True,False,False,False,False
1020240168043,수납가구 및 이의 조립방법,선진공업주식회사,20241122,A47B 47/04	(2006.01),A,8,6,2,② 순수형,장치|장치|장치|방법|방법|방법,16562,467,429,0,0,1,3,0,494,17,False,True,False,True,False,False
1020250045866,제어함체의 유지관리를 위한 보안화 시스템,(주)아이피로드¶강철지,20250409,H04W 12/06	(2021.01),H,6,2,4,⑥ 장치+장치,시스템|시스템,19426,771,347,5,0,0,5,4,589,0,False,True,True,False,False,False
1020240194054,KTCS-2 RBC간 핸드오버 시 링킹정보를 활용한 이동권한 생성 장치 및 방법,대아티아이 (주)¶광제기술 주식회사,20241223,B61L 27/20	(2024.01),B,8,2,6,② 순수형,장치|방법,15720,2897,312,11,0,0,11,7,117,4,False,True,False,False,False,False
1020240194093,지장물 검지장치에 의한 RBC의 이동권한 제한 시스템 및 방법,대아티아이 (주)¶광제기술 주식회사,20241223,B61L 27/20	(2024.01),B,8,2,6,② 순수형,시스템|방법,11048,2197,169,8,0,0,8,8,55,3,False,True,False,False,False,False
1020240150653,드릴파이프 교정장치,주식회사 동성테크,20241030,B21D 3/16	(2006.01),B,7,1,6,⑨ 장치단독,장치,19273,682,89,6,0,1,8,0,536,11,False,True,False,True,False,False
