출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020230145979,"고체 전해질, 이를 포함하는 리튬전지",20231027,H01M 10/056,2,17
1020230121176,레이다 클러터 신호에 의한 오경보 판단 방법 및 시스템,20230912,G01S 7/41,16,0
1020230112071,외기 유입이 가능한 체외 수정용 배양 장치,20230825,C12M 3/00,1,0
1020230112075,동심 구획벽을 포함하는 체외 수정용 배양 장치,20230825,C12M 3/00,1,0
1020230112224,전자 정보 라벨 시스템,20230825,G06Q 30/06,1,6
1020230112070,지지 돌기를 포함하는 체외 수정용 배양 장치,20230825,C12M 3/00,1,0
1020230112072,복수 개의 배양웰을 포함하는 체외 수정용 배양 장치,20230825,C12M 3/00,1,0
1020230112073,배양액을 공유할 수 있는 체외 수정용 배양 장치,20230825,C12M 3/00,1,0
1020230112074,방사상 구획벽을 포함하는 체외 수정용 배양 장치,20230825,C12M 3/00,1,0
1020230110757,방사선 차폐 블록의 제작 정확도 검증 방법 및 그 시스템,20230823,G21F 3/04,3,6
1020230096382,초순수 제조 설비,20230724,C02F 9/00,2,0
1020230093340,병진 및 회전 운동이 가능한 석션 그리퍼,20230718,B25J 15/06,4,1
1020230078924,"플라스틱 기반 물품의 제조방법, 플라스틱 기반 물품 제조용 사출금형, 플라스틱 기반 물품 제조용 사출금형 세트 및 플라스틱 기반 물품",20230620,B29C 45/14,4,11
1020230077512,평행 운동이 가능한 적응형 그리퍼,20230616,B25J 15/02,2,3
1020230077711,디스플레이 장치 및 그 동작 방법,20230616,H04N 21/482,2,18
1020230076326,"열전지용 전해질, 이를 포함하는 열전지 및 열전지의 제조방법",20230614,H01M 6/36,6,8
1020230076327,산화물계 고체전해질 및 그 제조방법,20230614,H01M 10/0562,3,5
1020230073728,차량 센서 클리닝 장치 및 그 장치의 제어방법,20230608,B60S 1/56,7,5
1020230073737,"일차전지, 일차전지용 양극 및 그 제조방법",20230608,H01M 4/08,7,8
1020230066391,메모리 소자 및 그 제조 방법,20230523,H10N 70/00,1,4
1020230064780,광전도 반도체 스위치 및 이의 제조 방법,20230519,H01L 31/101,11,0
1020230065230,"복합 고체 전해질, 이를 포함하는 열전지 및 이의 제조방법",20230519,H01M 10/0562,5,7
1020230062521,센서 클리닝용 와이퍼 시스템,20230515,B60S 1/56,1,7
1020230062520,센서측정방법 및 그 장치,20230515,G01N 27/48,5,9
1020230061739,열전지 및 이의 제조방법,20230512,H01M 6/36,6,7
1020230059881,이송 로봇의 배터리 교체를 위한 충전 스테이션,20230509,B60L 53/80,1,12
1020230055000,무진동 할암 연속천공에 의한 자유면 형성을 위한 천공장치,20230426,E21D 9/10,1,8
1020230054120,마스크 프레임 어셈블리,20230425,H10K 71/16,1,6
1020230053303,간 절제를 위한 가이드 장치 및 가이드 장치 제조 방법,20230424,A61B 17/3205,1,4
1020230052985,이미지 센서,20230421,H01L 27/146,2,10
1020230047579,박막 트랜지스터 어레이 기판 및 유기 발광 표시 장치,20230411,H10K 59/121,2,28
1020230047117,"페이스트 조성물, 이를 이용한 발열 소자, 면상 발열체, 가열장치 및 이들의 제조방법",20230410,H01B 1/22,5,16
1020230044350,위상 제어 방법 및 시스템,20230404,H01S 3/10,3,11
