출원번호,old_사무소,old_대리인,old_MainCPC,ES_title,ES_MainCPC,ES_agents
1020050094646,,김성환,,족탕용 온수가열기,,김성환
1020050083849,,김성환,,엘엔지 휘발가스의 중간냉각시스템,,김성환
1020050078666,,김성환,,발포금형의 코어보정용 슬라이더,,김성환
1020050076287,,김성환,,음식물쓰레기 처리장치용 압축탈수기의 수분차단막,,김성환
1020050073859,,김성환,,음식물쓰레기 처리장치용 분쇄기의 상부케이싱,,김성환
1020050069590,,김성환,,음식물쓰레기 처리장치의 공기순환구조,,김성환
1020050062377,,김성환,,음식물쓰레기 처리장치의 찌꺼기 수거통,,김성환
1020050062369,,김성환,,음식물쓰레기 처리장치의 찌꺼기 수거통,,김성환
1020050061940,,김성환,,차량의 리어셀프에 설치되는 내장형 공기청정기,,김성환
1020050041850,,김성환,,완충브라켓트가 설치된 도로용 가드레일,,김성환
1020040053183,,김성환,,휴대용 벨트식 진동안마기,,김성환
1020040046089,,김성환,,탑차용 적재함 패널,,김성환
1020040040163,,김성남,,조광안정기용 제어신호 조절회로,,김성남
1020040036467,,김성환,,다기능 통합 물리치료기,,김성환
1020040021188,,김성환,,고추건조장치,,김성환
1020040015029,,김성환,,선박용 비상정지시스템,,김성환
1020040014686,,김성환,,인스트루먼트 패널의 부분발포부 결합구조,,김성환
1020040005429,,김성환,,아크릴수지판의 색상 형성방법,,김성환
1020040005421,,김성환,,아크릴수지판의 대전방지제 형성방법,,김성환
1020040001593,,김성환,,방수구조의 조타대를 구비한 고속단정,,김성환
1020030089100,,김성환,,출고차량에 부착되는 흠집방지용 보호패드의 제조장치,,김성환
1020030088518,,김성남,,동일한 배송지를 이용하는 기업의 임직원을 대상으로 하는도서 판매 시스템 및 방법,,김성남
1020030067696,,김성환,,일회용 종이컵,,김성환
1020030059972,,김성환,,임플란트시술용 인공치아고정체,,김성환
1020030056501,,김성환,,종이컵제조장치의 밑지결합장치,,김성환
1020030054422,,김성환,,이중종이컵 제조장치의 풀칠장치,,김성환
