출원번호,출원일,사무소,대리인,MainCPC,발명명칭
1020050094646,20051008,,김성환,A47K 3/022,족탕용 온수가열기
1020050083849,20050908,,김성환,B63B 25/08,엘엔지 휘발가스의 중간냉각시스템
1020050078666,20050826,,김성환,B29C 33/76,발포금형의 코어보정용 슬라이더
1020050076287,20050819,,김성환,B09B 3/00,음식물쓰레기 처리장치용 압축탈수기의 수분차단막
1020050073859,20050811,,김성환,B09B 3/00,음식물쓰레기 처리장치용 분쇄기의 상부케이싱
1020050069590,20050729,,김성환,B09B 3/00,음식물쓰레기 처리장치의 공기순환구조
1020050062377,20050711,,김성환,B65F 1/00,음식물쓰레기 처리장치의 찌꺼기 수거통
1020050062369,20050711,,김성환,B09B 3/00,음식물쓰레기 처리장치의 찌꺼기 수거통
1020050061940,20050709,,김성환,B60H 3/06,차량의 리어셀프에 설치되는 내장형 공기청정기
1020050041850,20050519,,김성환,E01F 15/00,완충브라켓트가 설치된 도로용 가드레일
1020040053183,20040708,,김성환,A61H 23/02,휴대용 벨트식 진동안마기
1020040046089,20040621,,김성환,B62D 33/04,탑차용 적재함 패널
1020040040163,20040602,,김성남,H05B 41/38,조광안정기용 제어신호 조절회로
1020040036467,20040521,,김성환,A61N 1/32,다기능 통합 물리치료기
1020040021188,20040329,,김성환,A23B 7/02,고추건조장치
1020040015029,20040305,,김성환,B63H 25/50,선박용 비상정지시스템
1020040014686,20040304,,김성환,B62D 25/08,인스트루먼트 패널의 부분발포부 결합구조
1020040005429,20040128,,김성환,B29D 7/00,아크릴수지판의 색상 형성방법
1020040005421,20040128,,김성환,B29D 7/00,아크릴수지판의 대전방지제 형성방법
1020040001593,20040109,,김성환,B63B 7/06,방수구조의 조타대를 구비한 고속단정
1020030089100,20031209,,김성환,B29C 65/74,출고차량에 부착되는 흠집방지용 보호패드의 제조장치
1020030088518,20031208,,김성남,G06F 17/60A0,동일한 배송지를 이용하는 기업의 임직원을 대상으로 하는도서 판매 시스템 및 방법
1020030067696,20030930,,김성환,A47G 19/03,일회용 종이컵
1020030059972,20030828,,김성환,A61C 8/00,임플란트시술용 인공치아고정체
1020030056501,20030814,,김성환,B31C 1/06,종이컵제조장치의 밑지결합장치
1020030054422,20030806,,김성환,B31C 7/02,이중종이컵 제조장치의 풀칠장치
1020030043698,20030630,,김성환,B21D 51/38,시밍머신의 뚜껑공급장치
1020030035437,20030602,,김성환,F02K 9/97,이젝터용 페탈노즐
1020030029918,20030512,,김성환,E04B 2/56,철골주차장용 판넬 설치구조
1020030026822,20030428,,김성환,E05B 47/00,도어 잠금시 가스밸브 자동 폐쇄장치 및 그 제어방법
1020030022611,20030410,,김성환,H01R 13/70,멀티 탭의 제어회로
1020030020987,20030403,,김성환,B21D 51/44,시밍머신의 시밍헤드 승하강장치
1020030015704,20030313,,김성환,B60R 19/44,출고차량에 부착되는 흠집방지용 보호패드의 제조방법
1020030011993,20030226,,김성환,B60R 13/02,출고차량에 부착되는 흠집방지용 보호패드
1020030010453,20030219,,김성환,B09B 5/00,음식물쓰레기 처리장치의 송풍기
1020030007550,20030206,,김성환,G01K 13/00,선박용 다기능 디지털 온도측정기
1020020069474,20021109,,김성환,F24C 3/12,도어 자물쇠 잠금시 가스밸브 자동 차단장치 및 그 제어방법
1020020064865,20021023,,김성환,A01K 87/00,티타늄시트가 감겨진 낚시대의 제조방법
1020020059806,20021001,,김성환,A61C 8/00,임플란트시술용 토크렌치
1020020059710,20021001,,김성환,A47C 1/032,절첩식 안락의자의 착석대 각도변환장치
1020020059330,20020930,,김성환,A61H 23/02,배드형 비만관리기
1020020048239,20020814,,김성환,F16L 59/02,폴리에스테르 단섬유를 사용한 파이프 단열 보온재 및 그제조방법
1020020039819,20020709,,김성환,B09B 3/00,음식물쓰레기 처리장치의 탈취기
1020020037394,20020629,,김성환,B09B 5/00,음식물쓰레기 처리장치의 발효탱크
1020020036451,20020627,,김성환,C23C 2/12,알루미늄 용융도금방법
1020020029363,20020527,,김성환,F16K 15/00,틸팅체크밸브
1020020028979,20020524,,김성환,E04B 9/06,욕실용 천장패널 및 그 시공방법
1020020027567,20020518,,김성환,F16K 31/60,볼밸브의 핸들잠금장치
1020020027566,20020518,,김성환,A61C 8/00,임플란트시술용 마운트드라이버구조
1020020027565,20020518,,김성환,A61C 8/00,임플란트시술용 마운트드라이버구조
1020020027525,20020517,,김성환,B23K 9/32,씨오투 아크용접기용 연장케이블의 어댑터구조
1020020019185,20020409,,김성환,B06B 1/16,건설폐기물 진동선별장치의 가변진동발생기
1020020011599,20020305,,김성환,C23C 2/00,용융알루미늄 도금조
1020020009061,20020220,,김성환,E02D 3/10,연약지반의 압밀촉진배수용 드레인보드의 코어재
1020020006300,20020204,,김성환,B60H 3/06,자동차용 공기청정기의 모듈화된 이오나이저
1020020006299,20020204,,김성환,E02D 3/10,연약지반의 압밀촉진배수용 드레인보드의 코어재
1020020005928,20020201,,김성환,B63B 7/08,고속단정용 조종콘솔
1020020005927,20020201,,김성남,G06F 17/60A0,예약제를 통한 상품 판매 시스템 및 방법
1020020005918,20020201,,김성환,B63B 7/08,고속단정의 자키시트용 발걸이
1020020005298,20020130,,김성환,B62D 7/14,무궤도 전동대차
1020020003514,20020122,,김성환,B09B 3/00,음식물쓰레기 처리장치
1020020001521,20020110,,김성환,E02D 3/10,공압을 이용한 연약지반용 모래포설기
1020010085002,20011226,,김성환,B03B 5/28,건축폐기물 습식 분류장치
1020010083827,20011224,,김성환,C02F 1/50,염소투입장치
1020010080992,20011219,,김성환,C09J 133/08,유화제가 함유되지 않은 신발제조용 접착제
1020010079943,20011217,,김성환,G01P 5/06,애드블룬을 이용한 풍속계
1020010077902,20011210,,김성환,B07B 4/06,건축폐기물 분류장치
1020010077378,20011207,,김성환,B09B 3/00,음식물쓰레기 처리장치의 발효탱크 가열장치.
1020010075366,20011130,,김성환,C02F 11/12,오폐수슬러지 건조장치
1020010070009,20011112,,김성환,B09B 1/00,음식물쓰레기 처리장치의 배기장치
1020010067979,20011101,,김성남,H02M 1/00,디지털 전원 공급 회로
1020010067978,20011101,,김성남,H03F 1/26,밸런스 앰프 회로
1020010067977,20011101,,김성남,H03F 3/21,출력전압이 가변되는 앰프 회로
1020010067081,20011030,,김성환,E02D 3/10,연약지반 보강용 샌드매트 시공방법
1020010067066,20011030,,김성환,H04M 11/06,전화선을 이용한 무인급수장치의 감시시스템
1020010065961,20011025,,김성환,B22C 5/00,주물사 재생장치 및 그 재생방법
1020010058985,20010924,,김성환,A61N 5/01,의료용 침대의 적외선램프 설치대
1020010058982,20010924,,김성환,A61H 23/00,온열치료침대용 온열발생기의 안내레일
1020010057684,20010918,,김성환,B29C 33/38,프레스용 신발금형의 제조방법
1020010054235,20010904,,김성환,B63B 9/00,고무보트의 고무튜브와 선체의 결합구조
1020010053415,20010831,,김성환,E03F 5/14,제진기의 제어장치 및 그 제어방법
1020010053300,20010831,,김성환,F16L 23/16,파이프연결구
1020010053299,20010831,,김성환,F16L 23/16,파이프연결구
1020010053257,20010831,,김성환,F24F 6/08,흡수증발식 가습기
1020010053254,20010831,,김성환,F24F 6/14,복합식 가습기
1020010052508,20010829,,김성환,B22D 41/12,제철소용 레들카의 제동장치
1020010050290,20010821,,김성환,G03B 21/58,야외극장용 스크린장치 겸용 무대장치
1020010050288,20010821,,김성환,G06F 19/00,인터넷을 이용한 단체급식 관리시스템
1020010048945,20010814,,김성환,E03B 11/16,무인 급수장치
1020010046965,20010803,,김성환,C09J 4/02,유화제가 함유되지 않은 신발제조용 접착제
1020010044526,20010724,,김성환,B60R 21/045,인스트루먼트 패널의 부분발포부 구조
1020010040891,20010709,,김성환,G06F 17/60A4,유통업체의 고객관리방법
1020010031372,20010605,,김성환,B23C 3/18,블로워용 3엽 임펠러의 곡면전용 가공기
1020010030018,20010530,,김성환,B01D 46/44,공기청정기의 오염도 측정방법
1020010029947,20010530,,김성환,F28D 20/00,빙축열을 이용한 이동식 스팟쿨러 시스템
1020010025202,20010509,,김성환,G09F 13/08,광고간판용 투시패널
1020010018978,20010410,,김성환,B29D 31/518,신발갑피 내부 보강재 제조방법
1020010018856,20010410,,김성남,G06K 7/10,양방향 통신이 가능한 구매정보 입력장치
1020010015388,20010324,,김성환,C23C 2/06,배출성능을 향상시킨 용융아연도금욕 제조방법
1020010012162,20010309,,김성환,D03D 25/00,입체원단의 직조구조
1020010010677,20010302,,김성남,G07B 15/00,대중 교통수단 이용료의 선불 징수 시스템 및 방법
1020010009025,20010222,,김성환,B41M 5/40,직물지의 전사인쇄 표면처리재
1020010010171,20010221,,김성환,A61K 7/42,자연산 상황버섯 추출물이 함유된 미백화장료
1020010005788,20010207,,김성환,A01K 89/01,베이트 케스팅 릴의 스타드래그 클릭음 발생장치
1020010005583,20010206,,김성환,A01K 89/01(조기공개),베이트 케스팅 릴의 스풀 제동력 조절장치
1020010004912,20010201,,김성환,C08G 18/48,열간 성형이 용이한 연속기포 경질 폴리우레탄 발포체 및그 발포체를 이용한 자동차 마감재
1020010003534,20010122,,김성환,A23B 7/10,명란김치의 제조방법
1020010003461,20010120,,김성환,A01K 89/01(조기공개),베이트 케스팅 릴의 플립커버장치
1020010002558,20010117,,김성환,F16K 35/10,원유운반선용 급유관의 급유밸브 록킹장치
1020010002552,20010117,,김성환,F16K 35/10,원유운반선용 급유관의 급유밸브 록킹장치
1020010001302,20010110,,김성환,C02F 3/16,기계식 표면폭기 및 교반장치
1020010000390,20010104,,김성환,B61H 11/00,제철소용 레들카의 제동장치
1020000085707,20001229,,김성환,G01M 3/34,사각깡통의 기밀누설 테스트장치
1020000081100,20001223,,김성남,G06F 17/60A0,상거래 대금을 인터넷망을 이용하여 전자적으로 결제하는방법
1020000079198,20001220,,김성환,A01K 89/0155(조기공개),낚시용 스피닝 릴의 역회전 방지구
1020000078691,20001219,,김성남,G10L 17/00,2차원 얼굴 정면 이미지를 이용한 3차원 얼굴 모델 생성방법
1020000078253,20001219,,김성환,A01K 89/01(조기공개),낚시릴의 핸들 절첩장치
1020000074274,20001207,,김성환,A01K 61/00(조기공개),양식장용 부이
1020000073811,20001206,,김성환,A45C 13/30,가방끈고리
1020000072670,20001202,,김성환,F16K 13/00,바이패스수단을 구비한 밸브
1020000071922,20001130,,김성환,H04H 1/02,무정지 2중화 구내방송 시스템
1020000071179,20001128,,김성남,G06F 17/60C0,수수료 후불식 직거래 경매방법
1020000069851,20001123,,김성환,B21H 1/00,플랜지 가공용 전조기
1020000067407,20001114,,김성남,G06K 9/00,압력패턴 검출 기능을 포함하는 지문인식장치
1020000067215,20001113,,김성남,G06F 17/60A2,스마트 카드의 에이티알 인증 및 이를 이용한 전자상거래방법
1020000066691,20001110,,김성환,C12P 7/00,초콜릿이 첨가된 요구르트 및 그 제조방법
1020000066330,20001109,,김성남,G06F 17/60C0,"인터넷을 이용한 경매 시스템, 이를 이용한 회원 자격판별 방법 및 마감처리 방법"
1020000065381,20001104,,김성남,E05B 47/06,전자식 출입문 제어 시스템
1020000064895,20001102,,김성환,E02B 5/08,배수로의 오물수거장치
1020000064248,20001031,,김성환,E04B 9/04,천정용 장식패널
1020000063798,20001028,,김성환,F04B 1/00,다단 배기시스템을 구비한 사축식 압축장치
1020000062028,20001020,,김성환,B60R 25/00,휴대용 무선통신 카드를 이용한 자동차의 도어/시동제어장치 및 그 방법
1020000061149,20001018,,김성환,C09J 4/00,유화제가 첨가되지 않는 점착제 및 그 제조방법
1020000060689,20001016,,김성환,B25J 9/00,다기능 홈 퍼스널 로봇
1020000060332,20001013,,김성환,H01Q 1/12,통신탑
1020000059989,20001012,,김성환,B66C 5/00,조선소크레인의 러핑스크류로드 커버
1020000058205,20001004,,김성환,C09J 4/00,유화제가 첨가되지 않는 신발제조용 접착제 및 그 제조방법
1020000056446,20000926,,김성환,A01K 89/0155,낚시용 릴의 역회전 방지장치
1020000056445,20000926,,김성환,A01K 89/0155,낚시용 릴의 역회전 방지구
1020000055160,20000920,,김성남,H04M 15/00,카드사용에 따른 인센티브를 전화 요금에 적용하는 방법
1020000054854,20000919,,김성남,H04L 12/28,"구내 네트워크를 이용한 키폰 시스템, 이를 이용한 호처리 방법 및 데이터 송신 방법"
1020000053841,20000909,,김성남,G08G 1/123,위치정보확인 수신기를 갖춘 차량에 탑승한 승객의 위치정보를 제공하는 방법
1020000052647,20000906,,김성남,G06F 17/60,인터넷을 이용한 도서 정보 제공 방법
1020000052646,20000906,,김성남,G06F 17/00,전자서고 제공 시스템 및 방법
1020000051134,20000831,,김성환,B66F 9/06,스태커용 리프트
1020000051095,20000831,,김성남,H04Q 7/24,휴대용 무선 단말기를 이용한 광고 제공 방법
1020000049228,20000824,,김성환,B65D 85/00(조기공개),솔더볼 보관용기
1020000046771,20000812,,김성남,H04N 7/18,통신망을 이용한 화상경비 시스템
1020000046754,20000812,,김성남,G06F 17/60,전자문서 발급 시스템 및 방법
1020000045606,20000807,,김성남,G06F 17/60F0,인터넷을 이용한 일정 관리 시스템 및 방법
1020000044024,20000729,,김성환,H02B 1/24(조기공개),노이즈 및 서지전압 제거장치가 내장된 배전반
1020000041888,20000721,,김성남,E05B 53/00,복수개의 자물쇠틀을 갖는 잠금 장치
1020000041887,20000721,,김성남,G06F 17/40,인터넷을 이용한 데이터베이스 마케팅 시스템 및 방법
