요약,이슈 키,이슈 ID,이슈 유형,상태,프로젝트 키,프로젝트 이름,프로젝트 유형,프로젝트 리더,프로젝트 리더 ID,프로젝트 설명,우선 순위,해결,담당자,담당자 ID,보고자,보고자 ID,작성자,작성자 ID,만듦,업데이트,최근에 봄,해결됨,컴포넌트,컴포넌트,기한,투표,레이블,레이블,레이블,레이블,레이블,레이블,레이블,레이블,레이블,레이블,레이블,설명,환경,지켜보는 사람,지켜보는 사람,지켜보는 사람,지켜보는 사람,관찰자 ID,관찰자 ID,관찰자 ID,관찰자 ID,로그 작업,로그 작업,최초 추정치,남은 추정치,사용한 시간,작업율,초기 추정의 합,Σ 남은 추정치,할애한 시간의 합,보안 등급,내부 이슈 링크(Blocks),내부 이슈 링크(Blocks),나가는 방향 이슈 연결 (Blocks),나가는 방향 이슈 연결 (Blocks),내부 이슈 링크(Problem/Incident),나가는 방향 이슈 연결 (Problem/Incident),내부 이슈 링크(Relates),내부 이슈 링크(Relates),내부 이슈 링크(Relates),내부 이슈 링크(Relates),내부 이슈 링크(Relates),나가는 방향 이슈 연결 (Relates),첨부 파일,첨부 파일,첨부 파일,첨부 파일,사용자정의 필드 (Issue color),사용자정의 필드 (Rank),스프린트,스프린트,스프린트,사용자정의 필드 (Start date),사용자정의 필드 (Story point estimate),Team Id,Team Name,사용자정의 필드 (Vulnerability),사용자정의 필드 (Vulnerability),사용자정의 필드 (development),댓글,댓글,댓글,댓글,댓글,댓글,댓글,댓글,상위 항목,상위 키,Parent summary,상태 범주,상태 범주 변경됨
[feat] 검색결과 - 토픽 필터(Topic Filter) 화면 구현,PS-423,11819,스토리,해야 할 일,PS,patsol,software,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,Your first project,Medium,,이윤주,712020:4d3e5a02-e6bf-43c3-8a13-64a850b5f709,이윤주,712020:4d3e5a02-e6bf-43c3-8a13-64a850b5f709,이윤주,712020:4d3e5a02-e6bf-43c3-8a13-64a850b5f709,11/3월/26 6:37 오후,11/3월/26 6:53 오후,,,,,,0,frontend,patsol-core,,,,,,,,,,"h2. 배경 (Why)

LLM 검색 결과에 대해 클러스터링된 토픽을 사용자에게 제공하여, 방대한 특허 문서 중 원하는 주제의 문서를 빠르게 필터링하고 탐색할 수 있는 인터페이스가 필요합니다.

h2. 작업 내용 (What)

* *섹션 배치*: '검색결과' 페이지 내 '결과 내 검색' 섹션과 '특허 검색 결과' 사이 배치 (margin: 12px)
* *노출 조건 제어*: 조건식 검색 시 섹션 미노출 처리
* *토픽 칩(Filter Chip) UI 구현*:
** LLM 기반 토픽 주제를 칩 형태로 리스트 조회
** 관련도 높은 순 정렬
** State 처리: Default, Selected, Loading (추출 중 임시 처리)
* *필터링 로직 구현*:
** 칩 클릭 시 Selected 상태 전환 및 문서 필터링 수행
** 필터 적용 시 검색 결과 건수 동적 업데이트
** 다중 필터 선택 시 적용 정책(AND/OR) 반영 (기획 확정 필요)

h2. 기술적 접근 (How)

* *상태 관리*: 다중 선택된 토픽 ID들을 배열로 관리하여 검색 결과 컴포넌트에 전달
* *UI 컴포넌트*: 공통 Chip 컴포넌트 활용 또는 신규 필터 칩 개발
* *로딩 처리*: 토픽 추출 완료 전까지 Skeleton 또는 Loading State UI 적용

h2. 완료 조건 (Acceptance Criteria)

* [ ] 검색결과 페이지 내 지정된 위치에 토픽 필터 섹션이 정상 노출됨
* [ ] 조건식 검색 시에는 해당 섹션이 렌더링되지 않음
* [ ] 칩 클릭 시 상태(Default/Selected)가 정상 변경되고 결과 목록이 즉시 필터링됨
* [ ] 토픽 추출 중일 때 Loading 상태 UI가 정상적으로 표시됨
* [ ] (결정 필요) 다중 필터 선택 시 AND/OR 정책에 따른 결과 일관성 확인

h2. OKR 연결 근거

* 연결된 KR: [제품 경쟁력 강화 - 사용자 탐색 경험 개선]
* 기여 방식: LLM 분석 데이터를 시각적 필터로 연결하여 특허 검토 효율성을 직접적으로 향상시킴",,이윤주,,,,712020:4d3e5a02-e6bf-43c3-8a13-64a850b5f709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i002bf:,PS 3월,,,,5.0,,,,,{},,,,,,,,,,,,해야 할 일,11/3월/26 6:37 오후
"develop → main 자동 머지 충돌: pyproject.toml, requirements.txt 수동 해결 필요",PS-422,11818,작업,완료,PS,patsol,software,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,Your first project,Medium,완료,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,11/3월/26 5:51 오후,11/3월/26 5:57 오후,,11/3월/26 5:57 오후,,,,0,,,,,,,,,,,,"h2. 상황

매주 수요일 develop(7일 전 시점) → main 자동 머지 워크플로우 실행 시 merge conflict 발생.

h2. 충돌 파일

* {{pyproject.toml}}
* {{requirements.txt}}

h2. 조치

# 해당 런의 컷오프 커밋 SHA 확인 (다음 런부터는 워크플로우 로그/Slack에 cutoff_sha 출력됨)
# 로컬에서 main에 해당 SHA 머지 후 위 두 파일 충돌 수동 해결
# main 푸시하여 동기화

h2. 참고

* 워크플로우: {{.github/workflows/sync-develop-to-main.yml}}
* 컷오프 SHA 확인: {{git log origin/develop -1 --format=""%H"" --until=""<해당 수요일 01:00 UTC>""}}",,김순복,,,,712020:f76e9261-e441-4ebd-a685-6827d188fa92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i002b7:,PS 3월,,,,,,,,,{},,,,,,,,,,,,완료,11/3월/26 5:57 오후
[Epic] 특허 데이터 구조 표준 정의 및 문서화 90% 완료,PS-420,11809,에픽,해야 할 일,PS,patsol,software,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,Your first project,Medium,,,,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,11/3월/26 5:17 오후,11/3월/26 5:19 오후,11/3월/26 5:18 오후,,,,,0,,,,,,,,,,,,,,김순복,,,,712020:f76e9261-e441-4ebd-a685-6827d188fa92,,,,,,,,,,,,,,,,,,,,PS-361,,,,,,,,,,purple,0|i0029f:,PS 3월,,,,,,,,,{},,,,,,,,,,,,해야 할 일,11/3월/26 5:17 오후
테스트,PS-419,11808,작업,드롭,PS,patsol,software,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,Your first project,Medium,완료,,,이금희,712020:926834d8-437a-4088-ae68-0f4bfedf8906,이금희,712020:926834d8-437a-4088-ae68-0f4bfedf8906,11/3월/26 5:17 오후,11/3월/26 5:22 오후,11/3월/26 5:22 오후,11/3월/26 5:22 오후,,,,0,,,,,,,,,,,,,,이금희,,,,712020:926834d8-437a-4088-ae68-0f4bfedf8906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00297:,PS 3월,,,,,,,,,{},,,,,,,,,11228,PS-311,[Epic] 도면 생성 기능 - 특허 도면답게 만들기,완료,11/3월/26 5:22 오후
[feat] OKR Export - OKR/KR/Jira 엑셀 다운로드 추가,PS-416,11803,작업,완료,PS,patsol,software,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,Your first project,Medium,완료,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,11/3월/26 4:47 오후,11/3월/26 4:48 오후,,11/3월/26 4:48 오후,Backend,Frontend,,0,backend,export,frontend,okr,,,,,,,,"h2. 배경 (Why)

OKR 탭에서 OKR > KR > Jira 구조 데이터를 엑셀/CSV 형태로 내려받아 공유/리포팅할 수 있도록 합니다.

h2. 작업 내용 (What)

* OKR 데이터를 {{카테고리 | OKR | KR | JIRA | Link}} 컬럼으로 내보내는 다운로드 API 제공
* 상위 뎁스(카테고리/OKR/KR)는 하위 로우가 여러 개일 때 셀 병합으로 가독성 개선
* 프론트 OKR 리스트 상단에 엑셀 다운로드 버튼 제공

h2. 기술적 접근 (How)

* Backend: {{/api/goals/export}}에서 XLSX 생성 후 파일 다운로드 응답
* XLSX 생성은 서버 측에서 계층 데이터 평탄화 + 병합 범위 계산 후 {{openpyxl}}로 생성
* Frontend: 다운로드 API를 {{blob}}으로 받아 브라우저 다운로드 트리거

h2. 완료 조건

* [ ] OKR 탭에서 엑셀 파일 다운로드가 정상 동작한다
* [ ] 엑셀에 카테고리(한글 라벨) / OKR / KR / JIRA / Link가 원하는 형태로 출력된다
* [ ] 동일 OKR/KR 아래 Jira 로우가 여러 개면 상위 셀이 병합되어 보인다
* [ ] Link 컬럼 클릭 시 Jira 이슈로 이동한다",,김순복,,,,712020:f76e9261-e441-4ebd-a685-6827d188fa92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0028z:,PS 3월,,,,,,,,,{},,,,,,,,,,,,완료,11/3월/26 4:48 오후
[chore] PatSol-Front - 전역 린트 에러 5~10개 파일 단위 분할 수정,PS-415,11770,작업,해야 할 일,PS,patsol,software,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,Your first project,Medium,,이윤주,712020:4d3e5a02-e6bf-43c3-8a13-64a850b5f709,이윤주,712020:4d3e5a02-e6bf-43c3-8a13-64a850b5f709,이윤주,712020:4d3e5a02-e6bf-43c3-8a13-64a850b5f709,10/3월/26 2:17 오후,10/3월/26 2:32 오후,,,,,,0,frontend,tech-debt,,,,,,,,,,"h2. 배경 (Why)

PatSol-Front 프로젝트 전반에 걸쳐 다수의 린트 에러가 발생하고 있어, 코드 품질 및 유지보수성에 악영향을 미치고 있습니다. 
한 번에 모든 파일을 수정할 경우 리뷰가 어려워지고 병합 충돌의 위험이 높기 때문에, 이를 5~10개 파일 단위로 분할하여 안정적으로 수정해야 합니다.

h2. 작업 내용 (What)

* PatSol-Front 프로젝트 내 린트 에러 발생 파일 전체 식별
* 5~10개 파일 단위로 작업 범위를 나누어 린트 에러 점진적 수정
* 미사용 변수, 타입 경고, 포맷팅 오류 등 {{eslint.config.js}} 및 {{commitlint.config.cjs}} 규칙에 맞게 코드 정리

h2. 기술적 접근 (How)

* 프로젝트 내에서 {{npm run lint}} (또는 해당하는 린트 명령어) 실행하여 대상 파일 리스트업
* 연관성이 높은 기능 및 도메인별로 파일을 묶어 5~10개씩 분할
* {{eslint --fix}}를 활용하여 자동 포맷팅 우선 적용 후, 수동으로 잔여 에러 및 경고 조치

h2. 완료 조건 (Acceptance Criteria)

* 5~10개 파일 단위로 분할된 다수의 PR 생성 및 머지
* PatSol-Front 프로젝트 내 모든 린트 에러 및 경고 0건 달성
* 수정 후 로컬 테스트 및 빌드가 정상적으로 수행됨 확인
* CI 파이프라인의 린트/타입 체크 스텝 통과

h2. OKR 연결 근거

* 연결된 KR: [기술 부채 해소 및 시스템 안정성 확보]
* 기여 방식: 정적 분석 도구의 경고/에러를 모두 제거함으로써 코드 일관성을 높이고 잠재적 버그를 사전 차단하여 서비스 운영 효율을 향상시킴",,이윤주,,,,712020:4d3e5a02-e6bf-43c3-8a13-64a850b5f709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0028r:,PS 3월,,,,3.0,,,,,{},,,,,,,,,,,,해야 할 일,10/3월/26 2:17 오후
회원가입시 last_login 9시간 느리게 저장 됨,PS-413,11735,작업,해야 할 일,PS,patsol,software,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,Your first project,Medium,,민건호,712020:3f8025d6-1c58-4428-b058-9a691161c34b,민건호,712020:3f8025d6-1c58-4428-b058-9a691161c34b,민건호,712020:3f8025d6-1c58-4428-b058-9a691161c34b,09/3월/26 7:29 오후,11/3월/26 1:11 오후,,,,,,0,,,,,,,,,,,,"!image-20260309-103001.png|width=304,alt=""image-20260309-103001.png""!

실제로는 19시에 진행함



++ 다른 시간을 저장하는 것들도 다 kst가 아닌 utc로 저장 중 ( 정확한 기준을 잡을 필요가 있어보임 )",,민건호,,,,712020:3f8025d6-1c58-4428-b058-9a691161c34b,,,,,,,,,,,,,,,,,,,,,,,,,,09/3월/26 7:30 오후;ug:10d4bee5-d237-49e2-afd6-f3e78fb8d3dd;image-20260309-103001.png;https://patsol.atlassian.net/rest/api/3/attachment/content/10938,,,,,0|i0028b:,PS 3월,,,,,,,,,{},,,,,,,,,,,,해야 할 일,09/3월/26 7:29 오후
apiuser 모델 개선,PS-412,11734,작업,해야 할 일,PS,patsol,software,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,Your first project,Medium,,민건호,712020:3f8025d6-1c58-4428-b058-9a691161c34b,민건호,712020:3f8025d6-1c58-4428-b058-9a691161c34b,민건호,712020:3f8025d6-1c58-4428-b058-9a691161c34b,09/3월/26 7:18 오후,09/3월/26 7:18 오후,,,,,,0,,,,,,,,,,,,,,민건호,,,,712020:3f8025d6-1c58-4428-b058-9a691161c34b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00283:,PS 3월,,,,,,,,,{},,,,,,,,,,,,해야 할 일,09/3월/26 7:18 오후
[patsol] 회원가입시 오는 슬랙 개선,PS-411,11733,작업,배포완료,PS,patsol,software,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,Your first project,Medium,,민건호,712020:3f8025d6-1c58-4428-b058-9a691161c34b,민건호,712020:3f8025d6-1c58-4428-b058-9a691161c34b,민건호,712020:3f8025d6-1c58-4428-b058-9a691161c34b,09/3월/26 6:44 오후,09/3월/26 6:59 오후,,,,,09/3월/26 12:00 오전,0,backend,,,,,,,,,,,"!image-20260309-094523.png|width=709,alt=""image-20260309-094523.png""!

현재는 이렇게 오고 있지만



!image-20260309-094600.png|width=709,alt=""image-20260309-094600.png""!

이런식으로 개선



+ 추가적으로 아래와 같이 prod와 Dev서버에서 가는 채널 구분해서 테스트시 피로감 줄이기

{noformat}CHANNEL_INTERNAL = ""C0A61P48G66"" # Prod 환경 제외 (테스트용) # slack ""bot-testing"" 채널
CHANNEL_PROD = ""C090BCTBNKV""      # 실제 유저용 (Prod) # slack ""가입"" 채널{noformat}",,민건호,,,,712020:3f8025d6-1c58-4428-b058-9a691161c34b,,,,,,,,,,,,,,,,,,,,,,,,,,09/3월/26 6:46 오후;ug:10d4bee5-d237-49e2-afd6-f3e78fb8d3dd;image-20260309-094523.png;https://patsol.atlassian.net/rest/api/3/attachment/content/10937,09/3월/26 6:46 오후;ug:10d4bee5-d237-49e2-afd6-f3e78fb8d3dd;image-20260309-094600.png;https://patsol.atlassian.net/rest/api/3/attachment/content/10936,,,,0|i0027v:,PS 3월,,,09/3월/26 12:00 오전,,3b296b04-50c7-43cb-9f29-fcb61779e61b,wand,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-11T18:01:37.000+0900"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}","09/3월/26 6:59 오후;712020:3f8025d6-1c58-4428-b058-9a691161c34b;[~accountid:712020:cab55bbe-8eec-4d91-ba93-ffbe3dff3651] [~accountid:712020:f76e9261-e441-4ebd-a685-6827d188fa92] [https://github.com/wand-patsol/PatSol-Back/pull/64|https://github.com/wand-patsol/PatSol-Back/pull/64|smart-link] 
확인부탁드립니당",,,,,,,,,,,진행 중,09/3월/26 6:44 오후
[feat] Cursor Automation - 벡터 검색 파이프라인 지능화 시스템 구축,PS-399,11711,작업,진행 중,PS,patsol,software,김순복,712020:f76e9261-e441-4ebd-a685-6827d188fa92,Your first project,Medium,,김민수,712020:c159362d-7071-4176-8eb9-fc9a363637ec,김민수,712020:c159362d-7071-4176-8eb9-fc9a363637ec,김민수,712020:c159362d-7071-4176-8eb9-fc9a363637ec,09/3월/26 1:34 오후,11/3월/26 6:17 오후,,,,,,0,,,,,,,,,,,,"h2. 배경 (Why)

현재 벡터 검색 파이프라인(Step 1~6)은 정교하게 구축되어 있으나, 운영 중 발생하는 장애 진단, 하이퍼파라미터 최적화, 오답 분석 및 리포트 작성이 여전히 수동으로 이루어지고 있습니다. Cursor Automation(Agentic AI)을 도입하여 파이프라인 운영의 지능화와 자동화를 달성하고자 합니다.

h2. 작업 내용 (What)

* Cursor Automation 기반 지능화 시스템 아키텍처 설계
* 6대 핵심 기능 구현: 자가 치유, 자율 실험, 오답 분석, 인사이트 리포트, 코드 가드, 상태 브리핑
* 슬래시 커맨드(/diagnose, /insight 등) 및 자동화 워크플로우 연동

h2. 기술적 접근 (How)

* Cursor Agentic Mode 및 Custom Rules (.cursor/rules) 적극 활용
* GCS metrics.json 및 manifest.json 데이터 분석 에이전트 개발
* {{scripts/common/utils.py}} 및 기존 분석 스크립트와 에이전트 간 인터페이스 구축

h2. 완료 조건 (Acceptance Criteria)

* [ ] 6대 핵심 기능에 대한 상세 설계 및 서브태스크 생성 완료
* [ ] 파이프라인 에러 발생 시 자동으로 원인을 분석하는 프로토타입 구현
* [ ] 벤치마크 결과를 기반으로 정성적 해석을 포함한 리포트 자동 생성 검증

h2. OKR 연결 근거

* 연결된 KR: 검색 파이프라인 운영 효율성 50% 향상
* 기여 방식: 수동 분석 업무를 AI 에이전트가 대체하여 운영 리소스 절감 및 의사결정 속도 개선
* 예상 KR 진행률 변화: 현재 20% → 작업 완료 후 60%",,김민수,,,,712020:c159362d-7071-4176-8eb9-fc9a363637ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0025f:,PS 3월,,,,,,,,,{},"11/3월/26 6:17 오후;712020:c159362d-7071-4176-8eb9-fc9a363637ec;아이디어

# GCS 버킷의 로그들을 기반으로 end to end 및 버전 별로 모니터링 할 수 있는 대시보드 개발

# 에러 로그 자가치유 시스템 개발
# 24시간 파이프라인 자동 모니터링 및 코드 취약점 자가 진단",,,,,,,,,,,진행 중,11/3월/26 6:17 오후
